monument_name,city,state,category,budget,best_season,crowd_level,weather_type,rating,description
Taj Mahal,Agra,Uttar Pradesh,UNESCO World Heritage,Moderate,October-March,High,Moderate,4.8,An iconic white marble mausoleum built by Mughal Emperor Shah Jahan. One of the most beautiful monuments in the world and a symbol of eternal love.
India Gate,Delhi,Delhi,Monument,Low,October-March,Very High,Moderate,4.6,A war memorial arch dedicated to fallen soldiers. Located in central Delhi and is a popular gathering spot for tourists and locals.
Hawa Mahal,Jaipur,Rajasthan,Palace,Moderate,October-March,High,Hot,4.5,The Pink City's most iconic structure with 953 small windows. Built in 1799 for royal women to observe street life without being seen.
Qutub Minar,Delhi,Delhi,Monument,Low,October-March,High,Moderate,4.7,A towering minaret built in 1193. The highest minaret in India with intricate Islamic architecture and historical significance.
Red Fort,Delhi,Delhi,Fort,Low,October-March,High,Moderate,4.5,A massive fortified palace complex built by Mughal Emperor Shah Jahan. Currently a UNESCO World Heritage Site and symbol of India's independence.
Mysore Palace,Mysore,Karnataka,Palace,Moderate,October-March,Moderate,Moderate,4.6,A grand royal palace with Indo-Gothic architecture. Illuminated at night and serves as a major cultural hub of Mysore.
Varanasi Ghats,Varanasi,Uttar Pradesh,Religious,Low,October-March,High,Moderate,4.4,Sacred bathing ghats along the Ganges river. Considered the spiritual capital of India with immense religious and cultural significance.
Konark Sun Temple,Konark,Odisha,Temple,Moderate,October-March,Moderate,Moderate,4.5,A 13th-century temple designed as a giant statue of the sun god's chariot. Known for its intricate stone carvings and astronomical alignments.
Khajuraho Temples,Khajuraho,Madhya Pradesh,Temple,Moderate,October-March,Moderate,Moderate,4.6,A group of Hindu and Jain temples with extraordinary sculptural art. Famous for their medieval architecture and intricate stone work.
Charminar,Hyderabad,Telangana,Monument,Low,October-March,Very High,Hot,4.4,A 16th-century monument and symbol of Hyderabad. Surrounded by vibrant markets and bazaars in the old city.
Kingdom of Dreams,Gurgaon,Haryana,Entertainment,Moderate,September-March,Moderate,Moderate,4.2,A sprawling amusement and entertainment park showcasing Indian culture and heritage through modern entertainment.
Amber Fort,Jaipur,Rajasthan,Fort,Moderate,October-March,High,Hot,4.7,A majestic mountaintop fort palace with a blend of Hindu and Mughal architecture. Offers spectacular views of Jaipur city.
Jantar Mantar,Jaipur,Rajasthan,Monument,Low,October-March,Moderate,Hot,4.3,An astronomical observation site built by Maharaja Sawai Jai Singh II. Recognized as a UNESCO World Heritage Site.
Sanchi Stupa,Sanchi,Madhya Pradesh,Buddhist Monument,Moderate,October-March,Low,Moderate,4.5,An ancient Buddhist structure with intricate stone carvings. One of the oldest stone structures in India dating back to 3rd century BC.
Gateway of India,Mumbai,Maharashtra,Monument,Low,October-March,Very High,Moderate,4.5,An arch monument built during the British Raj. Overlooking the Arabian Sea and serving as a symbolic entrance to Mumbai.
Fort Kochi,Kochi,Kerala,Fort,Moderate,August-March,Moderate,Humid,4.4,A historic port town with colonial architecture and Jewish synagogue. Popular for backwaters exploration and spice trade heritage.
Meenakshi Temple,Madurai,Tamil Nadu,Temple,Low,January-March,High,Hot,4.5,A historic Hindu temple dedicated to Meenakshi. Known for its towering gopurams and annual Meenakshi Tirupavadai festival.
Hampi Ruins,Hampi,Karnataka,Archaeological Monument,Moderate,October-March,Moderate,Hot,4.6,Ruins of the Vijayanagara Empire with stunning rock formations. A UNESCO World Heritage Site with rich historical and architectural significance.
Ajanta & Ellora Caves,Aurangabad,Maharashtra,Buddhist Monument,Moderate,August-March,Moderate,Moderate,4.5,Ancient cave temples with intricate Buddhist and Hindu sculptures. UNESCO World Heritage Sites showcasing 2000 years of Indian art.
Bodhgaya Temple,Bodh Gaya,Bihar,Buddhist Temple,Low,September-March,Low,Moderate,4.4,A sacred Buddhist pilgrimage site where Buddha attained Nirvana. Home to the Mahabodhi Temple and revered meditation spot.
Ranthambore Fort,Ranthambore,Rajasthan,Fort,Moderate,September-March,Moderate,Moderate,4.5,A hilltop fort within Ranthambore National Park. Offers opportunities to spot Bengal tigers and explore 10th-century ruins.
Jaisalmer Fort,Jaisalmer,Rajasthan,Fort,Moderate,September-March,Moderate,Hot,4.4,A golden sandstone fort in the Thar desert. Over 800 years old with intricate havelis and a thriving community within its walls.
Victoria Memorial,Kolkata,West Bengal,Monument,Low,October-March,Moderate,Moderate,4.5,A marble-domed building dedicated to Queen Victoria. An iconic symbol of Kolkata's colonial heritage and a museum.
Chitradurga Fort,Chitradurga,Karnataka,Fort,Low,October-March,Low,Hot,4.3,An ancient fort with seven interconnected walls. Contains water tanks carved inside rocky terrain and stunning architectural design.
Tirupati Temple,Tirupati,Andhra Pradesh,Temple,Moderate,January-March,Very High,Hot,4.6,One of the most visited Hindu temples dedicated to Lord Venkateshwara. Housing invaluable ornaments and gold deposits.
Gateways of Agra Fort,Agra,Uttar Pradesh,Fort,Low,October-March,High,Moderate,4.3,Ancient gateways of the Mughal fortress. Showcasing intricate Islamic calligraphy and architectural excellence.
Kailasanatha Temple,Kanchipuram,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.4,A 7th-century Hindu temple with magnificent architecture. Known for its intricate carvings and spiritual significance.
Gol Gumbaz,Bijapur,Karnataka,Monument,Low,October-March,Low,Hot,4.2,A 17th-century masonry dome structure. Remains one of the highest domes in the world and an engineering marvel.
Rajendra Chola Temple,Thanjavur,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.3,A UNESCO World Heritage Site built in the 11th century. Known for its magnificent Dravidian architecture and artistic value.
Hagia Sophia of Bijapur,Bijapur,Karnataka,Monument,Low,October-March,Low,Hot,4.1,A 16th-century mausoleum with Indo-Islamic architecture. Notable for its geometric design and historical significance.
Madurai Meenakshi Temple,Madurai,Tamil Nadu,Temple,Low,January-March,High,Hot,4.5,An ancient Hindu temple with stunning gopurams. One of India's largest temples and a major pilgrimage center.
Rani Ki Vav,Patan,Gujarat,Temple,Moderate,October-March,Low,Hot,4.4,An intricately carved stepwell from the 11th century. A UNESCO World Heritage Site showing exceptional architectural craftsmanship.
Jami Mosque,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.2,India's largest mosque with impressive Mughal architecture. Historic landmark showcasing Indo-Islamic construction.
Virupaksha Temple,Hampi,Karnataka,Temple,Low,October-March,Moderate,Hot,4.4,An ancient Hindu temple with intricate carvings. Located in the UNESCO World Heritage site of Hampi ruins.
Chola Temples of Tamil Nadu,Thanjavur,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.4,A cluster of temples showcasing Chola dynasty architecture. Important centers of Hindu worship and cultural heritage.
Brihadisvara Temple,Thanjavur,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.6,An 11th-century temple with magnificent tower. UNESCO World Heritage Site and finest example of Chola architecture.
Padmanabhaswamy Temple,Thiruvananthapuram,Kerala,Temple,Low,Year-round,Moderate,Humid,4.5,An ancient Hindu temple dedicated to Lord Vishnu. Known for its Dravidian architecture and underground vaults.
Srirangam Temple,Trichy,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.4,One of the largest functioning Hindu temples. Features stunning gopurams and traditional Dravidian architecture.
Mahabalipuram Temples,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.5,Ancient shore temples and rock-cut carvings. UNESCO World Heritage Site with exceptional Pallava dynasty architecture.
Dwarka Temple,Dwarka,Gujarat,Temple,Low,October-March,Moderate,Hot,4.3,One of the four cardinal pilgrimage sites for Hindus. Ancient temple dedicated to Lord Krishna with historical significance.
Somnath Temple,Somnath,Gujarat,Temple,Low,October-March,Moderate,Hot,4.3,An important Hindu pilgrimage site and temple. Known for its Nagara-style architecture and spiritual significance.
Jagannath Temple,Puri,Odisha,Temple,Low,January-March,High,Humid,4.5,An ancient Hindu temple and major pilgrimage site. Famous for the annual Rath Yatra festival and intricate carvings.
Lingaraj Temple,Bhubaneswar,Odisha,Temple,Low,October-March,Moderate,Humid,4.3,A 11th-century Hindu temple with Kalinga architecture. Known for its distinctive tower and sculptural details.
Rameshwaram Temple,Rameshwaram,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.4,An ancient temple dedicated to Lord Shiva. Important pilgrimage center with intricate pillars and sacred tanks.
Kashi Vishwanath Temple,Varanasi,Uttar Pradesh,Temple,Low,October-March,High,Moderate,4.5,A sacred Hindu temple dedicated to Lord Shiva. One of the oldest and most important pilgrimage sites in India.
Kedarnath Temple,Kedarnath,Uttarakhand,Temple,Moderate,May-October,Moderate,Cold,4.4,A high-altitude temple dedicated to Lord Shiva. Located in the Himalayas and an important pilgrimage site.
Badrinath Temple,Badrinath,Uttarakhand,Temple,Moderate,May-October,Moderate,Cold,4.4,An ancient temple dedicated to Lord Vishnu. One of the four cardinal Himalayan pilgrimage sites.
Darjeeling Kali Temple,Darjeeling,West Bengal,Temple,Low,September-December,Moderate,Cool,4.2,A temple dedicated to Goddess Kali. Located with panoramic views of Himalayan peaks.
Orchha Palace,Orchha,Madhya Pradesh,Palace,Moderate,October-March,Low,Moderate,4.3,A medieval palace with Ram Raja Temple and lakefront views. Architectural blend of Hindu and Mughal styles.
Gwalior Fort,Gwalior,Madhya Pradesh,Fort,Low,October-March,Moderate,Hot,4.4,A medieval hill fort with stunning architecture. Historic stronghold with palace complexes and intricate carvings.
Jai Vilas Palace,Gwalior,Madhya Pradesh,Palace,Moderate,October-March,Moderate,Hot,4.3,A 19th-century royal palace with European architecture. Known for its lavish interiors and historical museum.
Jodhpur Fort,Jodhpur,Rajasthan,Fort,Moderate,October-March,High,Hot,4.5,A massive fort overlooking the Blue City. Known for its impressive architecture and panoramic views.
Mehrangarh Fort,Jodhpur,Rajasthan,Fort,Moderate,October-March,Moderate,Hot,4.6,A dramatic cliffside fort with intricate architecture. Houses museum with royal artifacts and historical exhibits.
Chittorgarh Fort,Chittorgarh,Rajasthan,Fort,Moderate,October-March,Moderate,Hot,4.5,A massive historical fortress complex. Important site of valor and sacrifice in Rajasthan's history.
Neemrana Fort,Neemrana,Rajasthan,Fort,Moderate,October-March,Moderate,Hot,4.4,A 15th-century fort now heritage hotel. Features dramatic architecture and panoramic views of Aravalli Hills.
Alwar City Palace,Alwar,Rajasthan,Palace,Moderate,October-March,Low,Moderate,4.2,A 19th-century royal palace with Indo-Mughal architecture. Showcases historical artifacts and royal heritage.
City Palace Jaipur,Jaipur,Rajasthan,Palace,Moderate,October-March,High,Hot,4.4,A blend of Mughal and Rajasthani architecture. Still partially a royal residence with museum sections.
Udaipur City Palace,Udaipur,Rajasthan,Palace,Moderate,October-March,Moderate,Moderate,4.5,A stunning lakeside palace with intricate architecture. One of Rajasthan's most iconic structures.
Panelhi Mahal,Udaipur,Rajasthan,Palace,Moderate,October-March,Moderate,Moderate,4.4,A water palace with unique mirrored interiors. Built in the middle of Lake Pichola.
Chandra Mahal,Jaipur,Rajasthan,Palace,Moderate,October-March,Moderate,Hot,4.3,A seven-story palace with traditional Rajasthani design. Part of the City Palace complex.
Fatehpur Sikri,Agra,Uttar Pradesh,Palace,Low,October-March,High,Moderate,4.6,An abandoned royal city with stunning Mughal architecture. UNESCO World Heritage Site with palaces and mosques.
Akbar's Tomb,Sikandra,Uttar Pradesh,Monument,Low,October-March,Moderate,Moderate,4.3,A monumental tomb of Emperor Akbar. Showcases Indo-Islamic architecture with intricate inlay work.
Itimad-ud-Daulah's Tomb,Agra,Uttar Pradesh,Monument,Low,October-March,Moderate,Moderate,4.4,A marble mausoleum with delicate architecture. Known as the Baby Taj with exquisite marble inlay.
Humayun's Tomb,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.5,A UNESCO World Heritage Site with stunning Mughal architecture. Inspired the design of Taj Mahal.
Safdarjung's Tomb,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.3,An 18th-century mausoleum with Indo-Islamic design. Last great monument of the Mughal era.
Rajon ki Baoli,Delhi,Delhi,Monument,Low,October-March,Low,Moderate,4.1,An intricately carved stepwell from the 16th century. Architectural marvel showcasing Indo-Islamic art.
Lal Quila Red Fort,Delhi,Delhi,Fort,Low,October-March,High,Moderate,4.5,Historic Mughal fortress and residence. UNESCO World Heritage Site with rich historical significance.
Lahori Gate,Delhi,Delhi,Monument,Low,October-March,Very High,Moderate,4.3,Historic gate of the Red Fort complex. Served as entrance to the imperial fort and market.
Jama Masjid,Delhi,Delhi,Monument,Low,October-March,Very High,Moderate,4.3,One of the largest mosques in India. Built by Mughal Emperor Shah Jahan with impressive architecture.
Raj Ghat,Delhi,Delhi,Monument,Low,October-March,High,Moderate,4.2,Memorial site of Mahatma Gandhi. Important pilgrimage site with historical and spiritual significance.
Chandni Chowk,Delhi,Delhi,Monument,Low,October-March,Very High,Moderate,4.2,Historic market street with cultural heritage. Known for traditional shops and architectural diversity.
Parliament House,Delhi,Delhi,Monument,Low,October-March,Very High,Moderate,4.4,Neo-Gothic building housing Indian Parliament. Architectural landmark with historical significance.
Rashtrapati Bhawan,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.3,Official residence of the President of India. Neo-Gothic architecture with historical importance.
National Museum,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.3,Premier museum showcasing Indian art and history. Houses artifacts spanning thousands of years.
Saket Temple,Delhi,Delhi,Temple,Low,October-March,Moderate,Moderate,4.2,Ancient temple with religious significance. Located in South Delhi's Saket neighborhood.
Shakti Sthal,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.1,Memorial site dedicated to Indira Gandhi. Historical importance with formal gardens.
Amar Jawan Jyoti,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.2,War memorial dedicated to Indian soldiers. Eternal flame symbolizing national pride.
Kutab Minar Complex,Delhi,Delhi,Monument,Low,October-March,High,Moderate,4.5,UNESCO World Heritage Site with multiple monuments. Features the famous Qutub Minar and nearby structures.
Mehrauli Archaeological Park,Delhi,Delhi,Archaeological Monument,Low,October-March,Low,Moderate,4.3,Historical park with archaeological remnants. Features various monuments from different periods.
Tughlakabad Fort,Delhi,Delhi,Fort,Low,October-March,Low,Moderate,4.2,Ancient fort ruins with historical significance. Offers panoramic views of Delhi from hilltop.
Birla Temple,Delhi,Delhi,Temple,Low,October-March,Moderate,Moderate,4.3,Modern Hindu temple with marble architecture. Known for white marble construction.
Mahatma Gandhi Samadhi,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.2,Memorial site of India's father. Important pilgrimage destination with historical significance.
Tomb of Isa Khan,Delhi,Delhi,Monument,Low,October-March,Low,Moderate,4.1,16th-century monument with Indo-Islamic architecture. Located near Humayun's tomb complex.
Lodhi Gardens,Delhi,Delhi,Garden,Low,October-March,Moderate,Moderate,4.3,Historic gardens with ancient tombs. Beautiful park with architectural remnants.
Hazrat Nizamuddin Dargah,Delhi,Delhi,Religious Monument,Low,October-March,Moderate,Moderate,4.3,Sufi shrine with spiritual significance. Important pilgrimage center for devotees.
Swaminarayan Akshardham,Delhi,Delhi,Temple,Low,October-March,Very High,Moderate,4.5,Modern Hindu temple complex. Stunning architecture blending traditional and contemporary design.
Delhi Zoo,Delhi,Delhi,Entertainment,Low,October-March,High,Moderate,4.2,Conservation and exhibition zoo. Houses diverse wildlife species.
National Stadium,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.1,Historic sports venue hosting major competitions. Architectural landmark of modern India.
Rashtrapati Nivas,New Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.2,Official residence of President. Architectural blend of Indo-Islamic and modern styles.
Sangit Natak Akademi,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.1,Institution promoting performing arts. Located in cultural center of New Delhi.
Indira Gandhi Memorial,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.2,Memorial to former Prime Minister. Historic garden with ancestral home.
Teen Murti House,Delhi,Delhi,Monument,Low,October-March,Moderate,Moderate,4.1,Official residence of Prime Minister. Historical significance in India's independence.
Chhatrapati Shivaji Terminus,Mumbai,Maharashtra,Monument,Low,October-March,Very High,Moderate,4.4,UNESCO World Heritage railway station. Gothic-Revival architecture with historical importance.
Gateway of India Mumbai,Mumbai,Maharashtra,Monument,Low,October-March,Very High,Moderate,4.5,Iconic arch monument overlooking Arabian Sea. Major tourist attraction and historical landmark.
Rajabai Tower,Mumbai,Maharashtra,Monument,Low,October-March,Moderate,Moderate,4.3,Gothic Revival tower in university campus. Architectural landmark of Mumbai.
Flora Fountain,Mumbai,Maharashtra,Monument,Low,October-March,Very High,Moderate,4.3,Historic fountain in commercial district. Victorian architecture monument.
Prince of Wales Museum,Mumbai,Maharashtra,Monument,Low,October-March,High,Moderate,4.4,Museum showcasing Indian art and artifacts. Neo-Gothic architecture with historical collections.
Fort Area Walls,Mumbai,Maharashtra,Fort,Low,October-March,Very High,Moderate,4.2,Historical fort walls and structures. Remnants of British colonial architecture.
St. George's Fort,Mumbai,Maharashtra,Fort,Low,October-March,Very High,Moderate,4.2,Historic fort complex in Mumbai. Colonial-era fortification.
Elephanta Caves,Mumbai,Maharashtra,Cave Temple,Moderate,October-March,High,Moderate,4.5,UNESCO World Heritage cave temple. Ancient Hindu caves with intricate sculptures.
Mani Bhavan,Mumbai,Maharashtra,Monument,Low,October-March,Moderate,Moderate,4.3,Historical building and Gandhian study center. Where Gandhi stayed during visits to Mumbai.
Dr. Ambedkar National Memorial,Mumbai,Maharashtra,Monument,Low,October-March,Moderate,Moderate,4.2,Memorial to Dr. Ambedkar. Historical importance in India's social reform.
Siddhivinayak Temple,Mumbai,Maharashtra,Temple,Low,October-March,Very High,Moderate,4.4,Ancient Hindu temple with religious significance. Popular pilgrimage destination.
Haji Ali Dargah,Mumbai,Maharashtra,Religious Monument,Low,October-March,Very High,Moderate,4.4,Sufi shrine on island. Important Islamic pilgrimage site.
Bandra Fort,Mumbai,Maharashtra,Fort,Low,October-March,Moderate,Moderate,4.2,Colonial-era fort with historical significance. Offers views of Arabian Sea.
Marine Drive,Mumbai,Maharashtra,Monument,Low,October-March,Very High,Moderate,4.4,Historic seafront promenade. Known as the Queen's Necklace of Mumbai.
Hanging Gardens,Mumbai,Maharashtra,Garden,Low,October-March,High,Moderate,4.2,Victorian-era garden with city views. Historic horticultural landmark.
Mahim Causeway,Mumbai,Maharashtra,Monument,Low,October-March,Very High,Moderate,4.2,Historic causeway connecting islands. Important infrastructure in Mumbai's development.
Dakshin Chitra,Chennai,Tamil Nadu,Museum,Moderate,January-March,Moderate,Hot,4.3,Living museum showcasing South Indian culture. Features traditional architecture and crafts.
Kapaleeshwara Temple,Chennai,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.4,Ancient Hindu temple with Dravidian architecture. Known for intricate gopurams and sculptures.
Fort St. George,Chennai,Tamil Nadu,Fort,Low,January-March,Moderate,Hot,4.3,Historic British fort and museum. Colonial architecture with historical significance.
San Thome Cathedral,Chennai,Tamil Nadu,Church,Low,January-March,Moderate,Hot,4.2,Neo-Gothic church architecture. Important Christian pilgrimage site.
National Art Gallery,Chennai,Tamil Nadu,Museum,Low,January-March,Moderate,Hot,4.2,Showcasing Indian art and culture. Located in historic building.
Government Museum,Chennai,Tamil Nadu,Museum,Low,January-March,Moderate,Hot,4.3,Museum with archaeological and natural history collections. Important cultural institution.
Parthasarathy Temple,Chennai,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.3,Ancient Hindu temple with artistic sculptures. Known as the Varadaraja Perumal Temple.
Ashtalakshmi Temple,Chennai,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.2,Unique temple dedicated to eight forms of Lakshmi. Located on the seafront.
Guindy National Park,Chennai,Tamil Nadu,Nature Reserve,Low,January-March,Moderate,Hot,4.2,Urban wildlife sanctuary. Features diverse fauna and flora.
Iyappan Temple,Chennai,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.1,Religious shrine with devotional significance. Important pilgrimage site.
Ripon Building,Chennai,Tamil Nadu,Monument,Low,January-March,High,Hot,4.3,Historic government building. Indo-Saracenic architecture landmark.
Chepauk Palace,Chennai,Tamil Nadu,Palace,Low,January-March,Moderate,Hot,4.2,18th-century palace complex. Symbol of Nawabi heritage in Chennai.
Legislative Assembly Building,Chennai,Tamil Nadu,Monument,Low,January-March,Moderate,Hot,4.2,Architectural landmark of political importance. Historic government structure.
High Court Building,Chennai,Tamil Nadu,Monument,Low,January-March,Moderate,Hot,4.2,Imposing Gothic-Revival architecture. Notable landmark in civic center.
St. Mary's Church,Chennai,Tamil Nadu,Church,Low,January-March,Low,Hot,4.1,Historic church from colonial era. Important Christian heritage site.
Snake Park,Chennai,Tamil Nadu,Zoo,Low,January-March,Moderate,Hot,4.2,Reptile conservation and research center. Educational institution.
Theosophical Society,Chennai,Tamil Nadu,Society,Low,January-March,Low,Hot,4.1,Spiritual and philosophical organization. Historic headquarters in Chennai.
Birla Planetarium,Chennai,Tamil Nadu,Planetarium,Low,January-March,Moderate,Hot,4.2,Modern astronomical research center. Educational facility with shows.
MGR Race Course,Chennai,Tamil Nadu,Entertainment,Low,January-March,High,Hot,4.2,Historic horse racing venue. Colonial-era sports facility.
Chennai Port,Chennai,Tamil Nadu,Monument,Low,January-March,Moderate,Hot,4.1,Historic maritime infrastructure. Important commercial center.
Tanjavur Brihadeshwara Temple,Thanjavur,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.6,11th-century temple with colossal tower. UNESCO World Heritage Site.
Saraswati Mahal Library,Thanjavur,Tamil Nadu,Library,Low,January-March,Low,Hot,4.3,Historic library with ancient manuscripts. Cultural repository of Tamil literature.
Thanjavur Palace,Thanjavur,Tamil Nadu,Palace,Low,January-March,Moderate,Hot,4.2,Royal palace with museum exhibits. Architectural blend of styles.
Kumbakonam Temples,Kumbakonam,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.4,Ancient temple cluster. Important pilgrimage destination.
Airavateshwara Temple,Darasuram,Tamil Nadu,Temple,Low,January-March,Low,Hot,4.3,12th-century temple with intricate sculptures. UNESCO World Heritage Site.
Airavatesvara Temple,Darasuram,Tamil Nadu,Temple,Low,January-March,Low,Hot,4.3,Chola dynasty temple. Known for artistic temple car sculptures.
Darga Dargah,Ajmer,Rajasthan,Religious Monument,Low,October-March,Very High,Hot,4.4,Important Sufi shrine. Major pilgrimage site for Muslims.
Ana Sagar Lake,Ajmer,Rajasthan,Lake,Low,October-March,Moderate,Hot,4.2,Historic lake with archaeological remains. Scenic location with gardens.
Adhai Din Ka Jhompra,Ajmer,Rajasthan,Mosque,Low,October-March,Moderate,Hot,4.2,Medieval mosque with historical significance. Architectural monument.
