monument_name,city,state,category,budget,best_season,crowd_level,weather_type,rating,description
Taragarh Fort,Ajmer,Rajasthan,Fort,Low,October-March,Moderate,Hot,4.1,Hilltop fort with panoramic views. Historical military structure.
Mayo College,Ajmer,Rajasthan,Monument,Low,October-March,Moderate,Hot,4.1,Colonial-era educational institution. Gothic architecture.
Akbar Palace Museum,Ajmer,Rajasthan,Palace,Low,October-March,Low,Hot,4.1,Historical palace with museum. Important heritage structure.
Jain Temple,Ajmer,Rajasthan,Temple,Low,October-March,Moderate,Hot,4.2,Religious shrine with spiritual significance. Pilgrimage site.
Pushkar Temple,Pushkar,Rajasthan,Temple,Low,October-March,Very High,Hot,4.3,Ancient temple around holy lake. Major pilgrimage destination.
Pushkar Lake,Pushkar,Rajasthan,Lake,Low,October-March,Very High,Hot,4.2,Sacred lake with 52 ghats. Important religious site.
Varaha Temple,Pushkar,Rajasthan,Temple,Low,October-March,Moderate,Hot,4.2,Ancient Hindu temple. Religious and cultural significance.
Brahma Temple,Pushkar,Rajasthan,Temple,Low,October-March,Very High,Hot,4.2,World's only temple dedicated to Brahma. Unique religious site.
Rangji Temple,Pushkar,Rajasthan,Temple,Low,October-March,Moderate,Hot,4.1,Temple showing South Indian architecture. Unique style.
Sadar Bazar Bazaar,Pushkar,Rajasthan,Market,Low,October-March,Very High,Hot,4.2,Traditional marketplace. Cultural and commercial center.
Kailash Temple,Ellora,Maharashtra,Temple,Moderate,August-March,Moderate,Moderate,4.6,Largest monolithic temple. UNESCO World Heritage monumental carving.
Virokhananda Temple,Ellora,Maharashtra,Temple,Moderate,August-March,Moderate,Moderate,4.5,Ancient Buddhist rock-cut temple. UNESCO World Heritage Site.
Vishvakarma Temple,Ellora,Maharashtra,Temple,Moderate,August-March,Moderate,Moderate,4.4,Buddhist rock-cut temple. UNESCO World Heritage Site.
Rameshwar Temple,Ellora,Maharashtra,Temple,Moderate,August-March,Moderate,Moderate,4.3,Ancient temple shrine. Important religious site.
Jain Temple Ellora,Ellora,Maharashtra,Temple,Moderate,August-March,Moderate,Moderate,4.4,Well-preserved Jain temple. Excellent architectural example.
Ganesh Temple Ajanta,Ajanta,Maharashtra,Temple,Moderate,August-March,Moderate,Moderate,4.3,Ancient Buddhist site. UNESCO World Heritage cave temple.
Garbhe Vihar Ajanta,Ajanta,Maharashtra,Temple,Moderate,August-March,Moderate,Moderate,4.4,Well-preserved Buddhist cave. UNESCO World Heritage Site.
Devi Mahal,Aurangabad,Maharashtra,Palace,Moderate,August-March,Low,Moderate,4.2,Historic palace with architectural features. Heritage structure.
Panchakki Museum,Aurangabad,Maharashtra,Museum,Low,August-March,Low,Moderate,4.2,Historic watermill with museum. Engineering marvel.
Daulatabad Fort,Aurangabad,Maharashtra,Fort,Low,August-March,Moderate,Moderate,4.3,Historic fort with impressive architecture. Important defense structure.
Ambazari Fort,Aurangabad,Maharashtra,Fort,Low,August-March,Low,Moderate,4.1,Ancient fort with historical significance. Ruins of important fortress.
Himroo Weaving,Aurangabad,Maharashtra,Craft,Low,August-March,Moderate,Moderate,4.2,Traditional textile craft center. Cultural heritage site.
Bibi Ka Maqbara,Aurangabad,Maharashtra,Monument,Low,August-March,Moderate,Moderate,4.3,Mughal mausoleum resembling Taj Mahal. Important historical structure.
Sufi Dargah,Aurangabad,Maharashtra,Religious Monument,Low,August-March,Moderate,Moderate,4.2,Sufi shrine with pilgrimage importance. Spiritual site.
Arvi Fort,Aurangabad,Maharashtra,Fort,Low,August-March,Low,Moderate,4.1,Historic hill fort. Important defense structure.
Vaikasom Temple,Kottayam,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Ancient Hindu temple. Religious and cultural significance.
Vakom Vijayabheri Temple,Kottayam,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Traditional Kerala temple. Spiritual site.
Mahabalipuram Stupa,Mahabalipuram,Tamil Nadu,Buddhist Monument,Low,January-March,Moderate,Hot,4.3,Ancient Buddhist structure. Religious site.
Krishna's Butterball,Mahabalipuram,Tamil Nadu,Monument,Low,January-March,High,Hot,4.2,Massive boulder on hillside. Natural geological wonder.
Arjuna's Penance,Mahabalipuram,Tamil Nadu,Monument,Low,January-March,High,Hot,4.4,Ancient rock carving. UNESCO World Heritage art.
Descent of Ganges,Mahabalipuram,Tamil Nadu,Monument,Low,January-March,Moderate,Hot,4.4,Carved rock relief. Ancient sculptural masterpiece.
Tiger Caves,Mahabalipuram,Tamil Nadu,Cave,Low,January-March,Low,Hot,4.1,Ancient cave temples. Historical site.
Varaha Cave Temple,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.2,Cave temple structure. Religious monument.
Shore Temple Complex,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,High,Hot,4.5,Ancient temple group. UNESCO World Heritage Site.
Five Rathas,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,High,Hot,4.5,Five monolithic temples. UNESCO World Heritage Site.
Golkonda Fort,Hyderabad,Telangana,Fort,Low,September-March,High,Moderate,4.5,Historic fort complex. UNESCO World Heritage Site.
Qutb Shahi Tombs,Hyderabad,Telangana,Monument,Low,September-March,Moderate,Moderate,4.3,Historic mausoleum complex. Heritage site.
Necklace Road,Hyderabad,Telangana,Park,Low,September-March,High,Moderate,4.4,Scenic lake promenade. Urban park.
Hussain Sagar Lake,Hyderabad,Telangana,Lake,Low,September-March,High,Moderate,4.3,Large artificial lake. Recreation area.
Birla Mandir,Hyderabad,Telangana,Temple,Low,September-March,Moderate,Moderate,4.3,Modern temple structure. Religious site.
Birla Science Museum,Hyderabad,Telangana,Museum,Low,September-March,High,Moderate,4.3,Science education museum. Interactive exhibits.
Lumbini Park,Hyderabad,Telangana,Park,Low,September-March,High,Moderate,4.3,Public garden with monument. Recreation area.
Umaid Bhawan Palace,Jodhpur,Rajasthan,Palace,Moderate,October-March,Moderate,Hot,4.5,Grand palace complex. Heritage hotel.
Balsamand Lake,Jodhpur,Rajasthan,Lake,Low,October-March,Low,Hot,4.1,Historic water body. Tourist spot.
Mandore Garden,Jodhpur,Rajasthan,Garden,Low,October-March,Moderate,Hot,4.2,Historic garden complex. Heritage site.
Khejarla Fort,Khejarla,Rajasthan,Fort,Moderate,October-March,Low,Hot,4.2,Well-preserved fort. Heritage structure.
Osian,Osian,Rajasthan,Temple,Low,October-March,Low,Hot,4.1,Ancient temple town. Religious site cluster.
Sachiya Mata Temple,Osian,Rajasthan,Temple,Low,October-March,Moderate,Hot,4.2,Ancient temple shrine. Pilgrimage destination.
Desert National Park,Jaisalmer,Rajasthan,Nature Reserve,Low,September-March,Moderate,Hot,4.3,Desert wildlife sanctuary. Ecological site.
Kuldhara Village,Kuldhara,Rajasthan,Village,Low,October-March,Low,Hot,4.2,Abandoned heritage village. Archaeological site.
Jaisalmer Museum,Jaisalmer,Rajasthan,Museum,Low,October-March,Moderate,Hot,4.2,Regional museum. Cultural collection.
Laxminath Temple,Jaisalmer,Rajasthan,Temple,Low,October-March,Low,Hot,4.1,Ancient temple. Religious site.
Jain Temples Jaisalmer,Jaisalmer,Rajasthan,Temple,Low,October-March,Moderate,Hot,4.3,Jain temple complex. Religious center.
Maharaja Palace,Jaisalmer,Rajasthan,Palace,Moderate,October-March,High,Hot,4.4,Historic palace structure. Heritage monument.
Tanot Mata Temple,Tanot,Rajasthan,Temple,Low,October-March,Low,Hot,4.1,Ancient pilgrimage temple. Religious site.
Pokharan Fort,Pokharan,Rajasthan,Fort,Low,October-March,Low,Hot,4.1,Historic fort structure. Defence monument.
Salim Singh Ki Haveli,Jaisalmer,Rajasthan,Haveli,Moderate,October-March,Moderate,Hot,4.3,Ornate mansion structure. Heritage building.
Patwa Ki Haveli,Jaisalmer,Rajasthan,Haveli,Moderate,October-March,Moderate,Hot,4.4,Historic merchant mansion. Heritage site.
Nathmal Ki Haveli,Jaisalmer,Rajasthan,Haveli,Moderate,October-March,Moderate,Hot,4.3,Beautifully carved mansion. Heritage structure.
Sam Sand Dune,Jaisalmer,Rajasthan,Natural Wonder,Low,October-March,Moderate,Hot,4.3,Desert sand dune landscape. Tourist spot.
Amar Sagar Lake,Jaisalmer,Rajasthan,Lake,Low,October-March,Moderate,Hot,4.2,Historic water body. Tourist destination.
Ghanta Ghar,Jaisalmer,Rajasthan,Monument,Low,October-March,Very High,Hot,4.2,Historic clock tower. Commercial landmark.
Jaisalmer Havelis,Jaisalmer,Rajasthan,Haveli Cluster,Moderate,October-March,High,Hot,4.3,Historic mansion cluster. Heritage complex.
Badal Vilas,Jaisalmer,Rajasthan,Palace,Moderate,October-March,Low,Hot,4.2,Historic palace structure. Heritage building.
Chandragiri Fort,Chandragiri,Andhra Pradesh,Fort,Low,October-March,Moderate,Hot,4.2,Historic hill fort. Defence structure.
Chandragiri Palace,Chandragiri,Andhra Pradesh,Palace,Low,October-March,Moderate,Hot,4.2,Historical palace. Heritage monument.
Kailasagiri Park,Visakhapatnam,Andhra Pradesh,Park,Low,October-March,Moderate,Moderate,4.3,Hill top park with sculptures. Tourism destination.
Simhachalam Temple,Visakhapatnam,Andhra Pradesh,Temple,Low,January-March,Moderate,Moderate,4.3,Ancient hill temple. Pilgrimage site.
Dolphin's Nose Lighthouse,Visakhapatnam,Andhra Pradesh,Monument,Low,October-March,Moderate,Moderate,4.2,Historic lighthouse. Coastal landmark.
INS Kurusura Submarine,Visakhapatnam,Andhra Pradesh,Museum,Low,October-March,Moderate,Moderate,4.2,Decommissioned submarine museum. Military heritage.
Tirupati Railway Station,Tirupati,Andhra Pradesh,Monument,Low,January-March,Moderate,Hot,4.1,Historic railway station. Colonial architecture.
Shilparamam Art Village,Hyderabad,Telangana,Cultural Village,Moderate,September-March,High,Moderate,4.3,Arts and crafts village. Cultural hub.
Salarjung Museum,Hyderabad,Telangana,Museum,Low,September-March,High,Moderate,4.4,Premier art museum. World-class collection.
Chowmahalla Palace,Hyderabad,Telangana,Palace,Moderate,September-March,Moderate,Moderate,4.4,Royal palace complex. Heritage monument.
Mecca Masjid,Hyderabad,Telangana,Mosque,Low,September-March,Moderate,Moderate,4.3,Historic mosque structure. Religious center.
Rambagh Palace,Jaipur,Rajasthan,Palace,Moderate,October-March,Moderate,Hot,4.3,Historic royal palace. Heritage hotel.
Albert Museum,Jodhpur,Rajasthan,Museum,Low,October-March,Moderate,Hot,4.2,Regional museum. Heritage collection.
Fort Kochi Chinese Fishing Nets,Kochi,Kerala,Monument,Low,Year-round,High,Humid,4.5,Ancient fishing apparatus. Iconic cultural symbol.
Dutch Palace,Kochi,Kerala,Palace,Moderate,August-March,Moderate,Humid,4.4,Portuguese-Dutch palace architecture. Historic museum.
Paradesi Synagogue,Kochi,Kerala,Synagogue,Low,Year-round,Moderate,Humid,4.3,Historic Jewish place of worship. Cultural heritage.
Mattancherry Palace,Kochi,Kerala,Palace,Moderate,August-March,Moderate,Humid,4.3,Historical palace with murals. Important heritage structure.
St. Francis Church,Kochi,Kerala,Church,Low,Year-round,Moderate,Humid,4.3,Historic church from colonial period. Important Christian site.
Bolgatty Island,Kochi,Kerala,Island,Moderate,August-March,Moderate,Humid,4.3,Historic island palace. Tourism destination.
Kathakali Theater,Kochi,Kerala,Theater,Low,Year-round,Moderate,Humid,4.3,Traditional performing arts venue. Cultural heritage.
Kottayam Backwaters,Kottayam,Kerala,Water Body,Low,October-May,Moderate,Humid,4.3,Scenic water bodies. Popular tourism spot.
Vembanad Lake,Kottayam,Kerala,Lake,Low,October-May,Moderate,Humid,4.2,Largest lake in Kerala. Important ecological site.
Ernakulatappan Temple,Kochi,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Ancient Hindu temple. Religious site.
Santa Cruz Cathedral,Kochi,Kerala,Church,Low,Year-round,Moderate,Humid,4.3,Historic Catholic cathedral. Architectural landmark.
Raj Palace Museum,Kochi,Kerala,Museum,Moderate,August-March,Low,Humid,4.2,Historical museum. Heritage collection.
Thripunithura Palace,Thripunithura,Kerala,Palace,Low,Year-round,Low,Humid,4.2,Royal palace complex. Historical structure.
Hill Palace,Thripunithura,Kerala,Palace,Moderate,August-March,Moderate,Humid,4.3,Archaeological museum in palace. Heritage site.
Fort St. Angelo,Kannur,Kerala,Fort,Low,Year-round,Low,Humid,4.2,Historic colonial fort. Defense structure.
Azhakiya Manavalan Temple,Guruvayur,Kerala,Temple,Low,Year-round,Very High,Humid,4.5,Important Hindu pilgrimage site. Ancient temple.
Guruvayur Temple,Guruvayur,Kerala,Temple,Low,Year-round,Very High,Humid,4.5,Major Hindu pilgrimage temple. Spiritual center.
Mammiyur Mahadeva Temple,Mammiyur,Kerala,Temple,Low,Year-round,Moderate,Humid,4.3,Ancient temple shrine. Religious site.
Natanal Perumal Temple,Irinjalakuda,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Traditional temple. Spiritual destination.
Irinjalakuda Shiva Temple,Irinjalakuda,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Ancient Hindu shrine. Religious center.
Kunnamkulam Temple,Kunnamkulam,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Historic temple shrine. Pilgrimage site.
Panangad Shiva Temple,Panangad,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Temple shrine. Religious center.
Krishnapuram Palace,Krishnapuram,Kerala,Palace,Moderate,August-March,Low,Humid,4.2,Historical palace museum. Heritage site.
Champakulam Palace,Champakulam,Kerala,Palace,Moderate,August-March,Low,Humid,4.1,Historic palace. Cultural monument.
Ambalapuzha Sri Krishna Temple,Ambalapuzha,Kerala,Temple,Low,Year-round,Moderate,Humid,4.3,Ancient temple. Pilgrimage site.
Ambalapuzha Palace,Ambalapuzha,Kerala,Palace,Low,Year-round,Low,Humid,4.1,Palace compound. Heritage structure.
Harippad Mahavishnu Temple,Harippad,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Temple shrine. Religious site.
Atiraja Mandapam,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Low,Hot,4.1,Rock temple pavilion. Ancient structure.
Yali Mandapam,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Low,Hot,4.1,Temple structure. Ancient monument.
Light House,Mahabalipuram,Tamil Nadu,Monument,Low,January-March,Moderate,Hot,4.1,Historic navigation structure. Coastal landmark.
Olakkanesvara Temple,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Low,Hot,4.1,Temple shrine. Religious site.
Sundareshwara Temple,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.2,Hindu temple structure. Religious center.
Mahabaleshwar Temple,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.1,Temple shrine. Spiritual location.
Thirukalpa Narayanan Temple,Mahabalipuram,Tamil Nadu,Temple,Low,January-March,Low,Hot,4.1,Hindu temple. Religious site.
Thirukazhukundram Temple,Thirukazhukundram,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.2,Hilltop temple. Pilgrimage site.
Crocodile Bank,Mahabalipuram,Tamil Nadu,Zoo,Low,January-March,Moderate,Hot,4.2,Reptile conservation center. Educational facility.
Dakshina Chitra South Indian Village Museum,Mahabalipuram,Tamil Nadu,Museum,Moderate,January-March,Moderate,Hot,4.3,Living museum complex. Cultural heritage.
Thirumala Devasthanam,Thirupati,Andhra Pradesh,Temple,Low,January-March,Very High,Hot,4.6,One of India's richest temples. Major pilgrimage site.
Thripada Veerabhadra Temple,Tirupati,Andhra Pradesh,Temple,Low,January-March,Moderate,Hot,4.2,Ancient temple shrine. Religious site.
Sri Padmavati Temple,Tirupati,Andhra Pradesh,Temple,Low,January-March,Very High,Hot,4.4,Important pilgrimage temple. Religious center.
Gopuram Temple Tower,Tirupati,Andhra Pradesh,Monument,Low,January-March,Very High,Hot,4.4,Ornate temple gateway. Architectural landmark.
Nagarhole National Park,Hunsur,Karnataka,Nature Reserve,Moderate,October-March,Moderate,Moderate,4.4,Tiger reserve and wildlife sanctuary. Biodiversity hotspot.
Ranganathittu Bird Sanctuary,Srirangapatna,Karnataka,Nature Reserve,Low,September-March,Moderate,Moderate,4.3,Bird conservation area. Ecological site.
Srirangapatna Island Fort,Srirangapatna,Karnataka,Fort,Low,October-March,Moderate,Hot,4.2,Historic fort island. Defence structure.
Tipu Sultan Palace,Srirangapatna,Karnataka,Palace,Moderate,October-March,Moderate,Hot,4.3,Historical palace museum. Heritage site.
Brindavan Gardens,Srirangapatna,Karnataka,Garden,Low,October-March,High,Hot,4.3,Terraced garden complex. Tourist attraction.
Maharaja's Palace,Mysore,Karnataka,Palace,Moderate,October-March,High,Moderate,4.6,Grand royal residence. Heritage landmark.
Sri Chamundeshwari Temple,Chamundi Hills,Karnataka,Temple,Moderate,October-March,Moderate,Hot,4.4,Hilltop temple with panoramic views. Pilgrimage site.
St. Philomena's Church,Mysore,Karnataka,Church,Low,October-March,Moderate,Moderate,4.2,Gothic revival church. Religious landmark.
Jaganmohan Palace,Mysore,Karnataka,Palace,Moderate,October-March,Moderate,Moderate,4.3,Art gallery in palace. Heritage site.
Rail Museum,Mysore,Karnataka,Museum,Low,October-March,Moderate,Moderate,4.2,Historic railway museum. Cultural collection.
Karanji Lake,Mysore,Karnataka,Lake,Low,October-March,Moderate,Hot,4.2,Scenic lake. Recreation area.
Hosur Fort,Hosur,Karnataka,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Bangalore Fort,Bangalore,Karnataka,Fort,Low,October-March,Very High,Moderate,4.3,Ancient fort complex. Historic landmark.
Tipu Sultan's Summer Palace,Bangalore,Karnataka,Palace,Moderate,October-March,High,Moderate,4.3,18th-century palace. Heritage site.
Attara Kacheri,Bangalore,Karnataka,Monument,Low,October-March,Very High,Moderate,4.2,Historic government building. Architectural landmark.
Vidhana Soudha,Bangalore,Karnataka,Monument,Low,October-March,High,Moderate,4.4,Neo-Dravidian government building. Architectural marvel.
High Court Building,Bangalore,Karnataka,Monument,Low,October-March,Moderate,Moderate,4.2,Historic judicial building. Architectural landmark.
St. Mark's Cathedral,Bangalore,Karnataka,Church,Low,October-March,Moderate,Moderate,4.2,Historic church structure. Religious landmark.
Sri Veerabhadreshwara Temple,Bangalore,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.2,Ancient temple shrine. Religious site.
Dodda Basavana Gubbi,Bangalore,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.1,Ancient Nandi statue. Religious monument.
National Gallery of Modern Art,Bangalore,Karnataka,Museum,Low,October-March,Moderate,Moderate,4.2,Art museum. Cultural institution.
Visvesvaraya Museum,Bangalore,Karnataka,Museum,Low,October-March,Moderate,Moderate,4.2,Science and technology museum. Educational facility.
Government Museum,Bangalore,Karnataka,Museum,Low,October-March,Moderate,Moderate,4.1,Archaeological and natural history museum. Cultural collection.
Lalbagh Botanical Garden,Bangalore,Karnataka,Garden,Low,October-March,High,Moderate,4.4,Historic garden complex. Green space.
Cubbon Park,Bangalore,Karnataka,Park,Low,October-March,High,Moderate,4.3,Urban central park. Recreation area.
Bangalore Palace,Bangalore,Karnataka,Palace,Moderate,October-March,Moderate,Moderate,4.3,Victorian palace. Heritage site.
ISKCON Temple,Bangalore,Karnataka,Temple,Low,October-March,High,Moderate,4.4,Modern temple complex. Religious center.
Nandi Hills Fort,Nandi Hills,Karnataka,Fort,Low,October-March,Moderate,Cool,4.3,Hill fort with panoramic views. Historical site.
Bhoga Nandeeshwara Temple,Nandi Hills,Karnataka,Temple,Low,October-March,Moderate,Cool,4.2,Ancient hill temple. Religious site.
Ramnagar Fort,Ramnagar,Karnataka,Fort,Moderate,October-March,Low,Hot,4.1,Historic fort structure. Defence monument.
Chitradurga Fort,Chitradurga,Karnataka,Fort,Low,October-March,Low,Hot,4.3,Ancient hill fort. Military stronghold.
Tungabhadra Dam,Hospet,Karnataka,Dam,Low,October-March,Moderate,Hot,4.1,Engineering structure. Recreation area.
Krishna Raja Sagara Dam,Srirangapatna,Karnataka,Dam,Low,October-March,Moderate,Hot,4.2,Historic dam project. Recreation area.
Kabini River,Nagarhole,Karnataka,River,Low,October-March,Moderate,Moderate,4.2,Scenic river valley. Nature site.
Kaveri River,Various,Karnataka,River,Low,Year-round,Moderate,Moderate,4.1,Sacred river. Religious site.
Coorg Hill Station,Coorg,Karnataka,Hill Station,Moderate,September-March,Moderate,Cool,4.4,Scenic mountain destination. Tourism hotspot.
Abbey Falls,Coorg,Karnataka,Waterfall,Low,September-March,Moderate,Cool,4.3,Scenic waterfall. Natural attraction.
Dubare Elephant Camp,Coorg,Karnataka,Wildlife,Moderate,September-March,Moderate,Cool,4.4,Elephant sanctuary. Adventure site.
Raja's Seat,Coorg,Karnataka,Viewpoint,Low,September-March,High,Cool,4.3,Panoramic viewpoint. Tourist attraction.
Jatni Fort,Belgaum,Karnataka,Fort,Low,October-March,Low,Hot,4.1,Historic fort site. Defence structure.
Belgaum Fort,Belgaum,Karnataka,Fort,Low,October-March,Low,Hot,4.2,Medieval fort complex. Historic landmark.
Jama Masjid Belgaum,Belgaum,Karnataka,Mosque,Low,October-March,Moderate,Hot,4.1,Historic mosque. Religious site.
Banashankari Temple,Belgaum,Karnataka,Temple,Low,October-March,Moderate,Hot,4.2,Ancient temple shrine. Religious site.
Siddheshwar Temple,Belgaum,Karnataka,Temple,Low,October-March,Moderate,Hot,4.2,Historic temple. Religious center.
Lakshmi Narasimha Temple,Belgaum,Karnataka,Temple,Low,October-March,Moderate,Hot,4.2,Ancient temple shrine. Religious site.
Samadhi of Ramakrishna Paramahamsa,Belgaum,Karnataka,Monument,Low,October-March,Low,Hot,4.1,Spiritual memorial site.
Sukhasana Siddeshwara Temple,Belgaum,Karnataka,Temple,Low,October-March,Moderate,Hot,4.1,Ancient temple. Religious site.
Londa Fort,Londa,Karnataka,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Bailhongal Fort,Bailhongal,Karnataka,Fort,Low,October-March,Low,Hot,4.1,Medieval fort. Historic landmark.
Badami Cave Temple,Badami,Karnataka,Temple,Low,October-March,Moderate,Hot,4.4,Rock-cut cave temple. UNESCO Heritage Site.
Pattadakal Temple Complex,Pattadakal,Karnataka,Temple,Low,October-March,Moderate,Hot,4.3,Ancient temple complex. UNESCO Heritage Site.
Aihole Temple Group,Aihole,Karnataka,Temple,Low,October-March,Low,Hot,4.2,Cluster of temples. Archaeological site.
Mahakuta Temple Compound,Mahakuta,Karnataka,Temple,Low,October-March,Low,Hot,4.1,Ancient temple group. Religious site.
Rani ki Vav Stepwell,Patan,Gujarat,Temple,Moderate,October-March,Low,Hot,4.4,Intricately carved stepwell. UNESCO Heritage.
Somanatha Temple,Somnath,Gujarat,Temple,Low,October-March,Moderate,Hot,4.3,Ancient pilgrimage shrine. Religious site.
Junagadh Fort,Junagadh,Gujarat,Fort,Low,October-March,Moderate,Hot,4.2,Historic fort. Defence structure.
Pradyumna Temple,Vadodara,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Ancient temple. Religious site.
Laxmi Vilas Palace,Vadodara,Gujarat,Palace,Moderate,October-March,Moderate,Hot,4.3,Grand royal palace. Heritage hotel.
Sardar Patel Museum,Vadodara,Gujarat,Museum,Low,October-March,Moderate,Hot,4.2,Historical museum. Cultural collection.
Gujrat Vilas Palace,Vadodara,Gujarat,Palace,Moderate,October-March,Low,Hot,4.2,Historic palace. Heritage structure.
Sayaji Park,Vadodara,Gujarat,Park,Low,October-March,Moderate,Hot,4.2,Historic garden. Recreation area.
EME Temple,Vadodara,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Religious shrine. Spiritual site.
Baroda Museum,Vadodara,Gujarat,Museum,Low,October-March,Moderate,Hot,4.2,Art and natural history museum. Educational.
Dhanpur Fort,Dhanpur,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Champaner Archaeological Park,Champaner,Gujarat,Archaeological Site,Low,October-March,Moderate,Hot,4.3,Ancient settlement. UNESCO Heritage.
Pavagadh Temple,Pavagadh,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Hilltop temple. Pilgrimage site.
Pavagadh Fort,Pavagadh,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Kalka Temple,Kalka,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Ancient temple. Religious site.
Jami Masjid Champaner,Champaner,Gujarat,Mosque,Low,October-March,Low,Hot,4.1,Historic mosque. Religious site.
Saher Ki Masjid,Champaner,Gujarat,Mosque,Low,October-March,Low,Hot,4.1,Medieval mosque. Religious site.
Nagina Masjid,Champaner,Gujarat,Mosque,Low,October-March,Low,Hot,4.1,Historic mosque. Religious site.
Ahemdabad Jami Masjid,Ahmedabad,Gujarat,Mosque,Low,October-March,High,Hot,4.2,Historic mosque. Religious site.
Sidi Saied Mosque,Ahmedabad,Gujarat,Mosque,Low,October-March,Moderate,Hot,4.2,Historic mosque. Architectural landmark.
Teen Darwaza,Ahmedabad,Gujarat,Monument,Low,October-March,Very High,Hot,4.2,Historic gate. City landmark.
Calico Museum,Ahmedabad,Gujarat,Museum,Moderate,October-March,Moderate,Hot,4.3,Textile history museum. Cultural center.
Ahemdabad Textile Museum,Ahmedabad,Gujarat,Museum,Low,October-March,Moderate,Hot,4.2,History of textiles. Educational museum.
Bazaar of Ahmedabad,Ahmedabad,Gujarat,Market,Low,October-March,Very High,Hot,4.2,Historic marketplace. Commercial center.
Kankaria Lake,Ahmedabad,Gujarat,Lake,Low,October-March,High,Hot,4.3,Urban lake. Recreation area.
Mangal Das Ghat,Vadodara,Gujarat,Ghat,Low,October-March,Moderate,Hot,4.1,River ghat. Religious site.
