monument_name,city,state,category,budget,best_season,crowd_level,weather_type,rating,description
Narmada River,Vadodara,Gujarat,River,Low,Year-round,Moderate,Hot,4.2,Sacred river. Religious site.
Bhera Rock Carvings,Bhera,Gujarat,Archaeological,Low,October-March,Low,Hot,4.1,Ancient petroglyphs. Archaeological site.
Khirasara Talao,Khirasara,Gujarat,Lake,Low,October-March,Low,Hot,4.1,Historic water body. Nature site.
Bhavnagar Fort,Bhavnagar,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Bhavnagar Museum,Bhavnagar,Gujarat,Museum,Low,October-March,Low,Hot,4.1,Regional museum. Heritage collection.
Nilambag Palace,Bhavnagar,Gujarat,Palace,Moderate,October-March,Low,Hot,4.2,Historic palace. Heritage structure.
Palitana Temples,Palitana,Gujarat,Temple,Low,October-March,Moderate,Hot,4.2,Jain temple complex. Pilgrimage site.
Tulsi Mahakal Devi Temple,Palitana,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Religious shrine. Spiritual site.
Shatrunjaya Hills,Palitana,Gujarat,Mountain,Moderate,October-March,Moderate,Hot,4.2,Sacred mountain temples. Pilgrimage site.
Girnar Mountain,Junagadh,Gujarat,Mountain,Moderate,October-March,Moderate,Hot,4.2,Sacred mountain. Pilgrimage site.
Uparkot Fort,Junagadh,Gujarat,Fort,Low,October-March,Moderate,Hot,4.2,Historic fort. Defence structure.
Mahabat Maqbara,Junagadh,Gujarat,Monument,Low,October-March,Low,Hot,4.1,Historic mausoleum. Heritage site.
Ashoka Inscriptions Rock,Junagadh,Gujarat,Monument,Low,October-March,Low,Hot,4.1,Ancient edict site. Archaeological site.
Dar-e-Kran Monument,Junagadh,Gujarat,Monument,Low,October-March,Low,Hot,4.1,Historic structure. Heritage site.
Diu Fort,Diu,Gujarat,Fort,Low,October-March,Moderate,Hot,4.2,Colonial fort. Defence structure.
St. Thomas Church,Diu,Gujarat,Church,Low,October-March,Low,Hot,4.1,Historic church. Religious site.
Nagoa Beach Fort,Diu,Gujarat,Fort,Low,October-March,Moderate,Hot,4.1,Beach fort. Historic structure.
Panikotha Fort,Diu,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort ruins. Defence structure.
Zampa Submarine,Diu,Gujarat,Museum,Low,October-March,Moderate,Hot,4.1,Military submarine. Heritage site.
Girnar Ropeway,Junagadh,Gujarat,Cable Car,Low,October-March,Moderate,Hot,4.2,Mountain transport. Tourist attraction.
Prabhasa Patan,Somnath,Gujarat,Religious,Low,October-March,Moderate,Hot,4.2,Pilgrimage area. Religious site.
Bhalka Tirth,Bhalka,Gujarat,Religious,Low,October-March,Moderate,Hot,4.1,Holy pilgrimage site. Religious center.
Dwarka Temple,Dwarka,Gujarat,Temple,Low,October-March,Moderate,Hot,4.3,Ancient temple. Pilgrimage site.
Rukmini Temple,Dwarka,Gujarat,Temple,Low,October-March,Moderate,Hot,4.2,Ancient temple. Religious site.
Gomti Ghat,Dwarka,Gujarat,Ghat,Low,October-March,Moderate,Hot,4.1,River ghat. Religious site.
Nageshwar Mahadev Temple,Dwarka,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Religious shrine. Spiritual location.
Porbandar Lighthouse,Porbandar,Gujarat,Monument,Low,October-March,Moderate,Hot,4.1,Historic lighthouse. Coastal landmark.
Sudama Birthplace,Porbandar,Gujarat,Religious,Low,October-March,Low,Hot,4.1,Holy birthplace. Religious site.
Kirti Mandir,Porbandar,Gujarat,Monument,Low,October-March,Moderate,Hot,4.1,Gandhi memorial. Historical site.
Bhavnagar Maharaja Palace,Bhavnagar,Gujarat,Palace,Moderate,October-March,Low,Hot,4.2,Historic palace. Heritage structure.
Victoria Park,Bhavnagar,Gujarat,Park,Low,October-March,Moderate,Hot,4.2,Historic garden. Recreation area.
Gaurishankar Lake,Bhavnagar,Gujarat,Lake,Low,October-March,Moderate,Hot,4.1,Scenic lake. Recreation area.
Ghogha Beach Fort,Ghogha,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Coastal fort. Defence structure.
Kartik Mehta Temple,Bhavnagar,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Religious shrine. Spiritual site.
Manavi Temple,Manavi,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Ancient temple. Religious site.
Rani Kunvarba Museum,Bhavnagar,Gujarat,Museum,Low,October-March,Low,Hot,4.1,Regional museum. Heritage collection.
Madhavpur Beach,Madhavpur,Gujarat,Beach,Low,October-March,Moderate,Hot,4.2,Scenic beach. Tourism spot.
Vidyapati Temple,Vadodara,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Religious shrine. Spiritual site.
Anand Pillar,Anand,Gujarat,Monument,Low,October-March,Moderate,Hot,4.1,Historic landmark. Heritage structure.
Navlakhi Temple,Vadodara,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Ancient temple. Religious site.
Surya Mandir,Modhera,Gujarat,Temple,Low,October-March,Moderate,Hot,4.3,Sun temple. Pilgrimage site.
Modhera Lake,Modhera,Gujarat,Lake,Low,October-March,Low,Hot,4.1,Historic water body. Nature site.
Vastrapur Lake,Ahmedabad,Gujarat,Lake,Low,October-March,High,Hot,4.2,Urban lake. Recreation area.
Sabarmati Ashram,Ahmedabad,Gujarat,Ashram,Low,October-March,High,Moderate,4.4,Gandhi's residence. Historical center.
Mahatma Mandir,Gandhinagar,Gujarat,Museum,Low,October-March,Moderate,Moderate,4.3,Gandhi museum complex. Historical site.
Adalaj Vav Stepwell,Adalaj,Gujarat,Monument,Low,October-March,Moderate,Hot,4.3,Historic stepwell. Archaeological site.
Mohanpur Lighthouse,Porbandar,Gujarat,Monument,Low,October-March,Moderate,Hot,4.1,Historic lighthouse. Coastal landmark.
Kutch Wildlife Sanctuary,Kutch,Gujarat,Wildlife,Low,October-March,Low,Moderate,4.2,Wildlife reserve. Ecological site.
Mandvi Beach,Mandvi,Gujarat,Beach,Low,October-March,Low,Hot,4.2,Scenic beach. Tourism destination.
White Desert,Kutch,Gujarat,Desert,Low,October-March,Moderate,Hot,4.4,Salt desert landscape. Natural wonder.
Banni Grassland,Kutch,Gujarat,Grassland,Low,October-March,Low,Hot,4.1,Natural grassland. Ecological site.
Ahmedabad Bazaar Wall,Ahmedabad,Gujarat,Monument,Low,October-March,Very High,Hot,4.1,Historic wall structure. Heritage site.
Viramgam Fort,Viramgam,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Himmatnagar Fort,Himmatnagar,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Medieval fort. Historic landmark.
Prabhas Patan Temple,Prabhas Patan,Gujarat,Temple,Low,October-March,Moderate,Hot,4.1,Sacred temple. Pilgrimage site.
Gir Forest National Park,Gir,Gujarat,Nature Reserve,Moderate,October-March,Moderate,Hot,4.3,Lion sanctuary. Wildlife habitat.
Veraval Port,Veraval,Gujarat,Harbor,Low,October-March,Moderate,Hot,4.1,Historic port. Commercial center.
Matsya Avatar Temple,Veraval,Gujarat,Temple,Low,October-March,Low,Hot,4.1,Religious shrine. Spiritual site.
Jyotirlinga Somnath,Somnath,Gujarat,Temple,Low,October-March,Very High,Hot,4.4,Sacred Shiva temple. Major pilgrimage site.
Lakshmi Narayan Temple,Somnath,Gujarat,Temple,Low,October-March,Moderate,Hot,4.2,Religious shrine. Spiritual location.
Bandichand Hill Fort,Bandichand,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Madhubagh,Madhubagh,Gujarat,Garden,Low,October-March,Low,Hot,4.1,Historic garden. Scenic site.
Sasan Gir,Sasan Gir,Gujarat,Wildlife,Moderate,October-March,Moderate,Hot,4.3,Lion reserve. Wildlife sanctuary.
Chhota Udepur Fort,Chhota Udepur,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Pavagadh Lake,Pavagadh,Gujarat,Lake,Low,October-March,Moderate,Hot,4.1,Scenic lake. Recreation area.
Kamleshwar Dam,Kamleshwar,Gujarat,Dam,Low,October-March,Moderate,Hot,4.1,Water structure. Recreation area.
Jaswant Sagar Dam,Jaswant Sagar,Gujarat,Dam,Low,October-March,Moderate,Hot,4.1,Historic dam. Recreation area.
Pandya Fort,Pandya,Gujarat,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Gajner Palace,Gajner,Rajasthan,Palace,Moderate,October-March,Low,Hot,4.2,Historic palace. Heritage structure.
Thar Desert,Thar,Rajasthan,Desert,Low,September-March,Moderate,Hot,4.3,Sand desert landscape. Natural wonder.
Khimsar Sand Dunes,Khimsar,Rajasthan,Desert,Low,October-March,Moderate,Hot,4.2,Desert sand formation. Tourism spot.
Ramsar Talao,Jodhpur,Rajasthan,Lake,Low,October-March,Low,Hot,4.1,Historic water body. Nature site.
Bilara Lake,Bilara,Rajasthan,Lake,Low,October-March,Low,Hot,4.1,Scenic lake. Recreation area.
Pokharan Lake,Pokharan,Rajasthan,Lake,Low,October-March,Moderate,Hot,4.1,Historic lake. Tourism spot.
Khejarla Lake,Khejarla,Rajasthan,Lake,Low,October-March,Low,Hot,4.1,Scenic lake. Nature site.
Tumkur Fort,Tumkur,Karnataka,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Siddaganja Mutt,Siddaganja,Karnataka,Religious Institution,Low,October-March,Moderate,Hot,4.1,Spiritual center. Religious site.
Turuvekere Talao,Turuvekere,Karnataka,Lake,Low,October-March,Low,Hot,4.1,Scenic lake. Recreation area.
Marikamba Temple,Shimoga,Karnataka,Temple,Low,October-March,Moderate,Hot,4.2,Religious shrine. Pilgrimage site.
Shimoga Fort,Shimoga,Karnataka,Fort,Low,October-March,Moderate,Hot,4.1,Historic fort. Defence structure.
Sri Chaturangaraya Temple,Shimoga,Karnataka,Temple,Low,October-March,Moderate,Hot,4.1,Ancient temple. Religious site.
Shivapuri Falls,Shimoga,Karnataka,Waterfall,Low,October-March,Moderate,Hot,4.2,Scenic waterfall. Natural attraction.
Sringeri Sri Sharadamba Temple,Sringeri,Karnataka,Temple,Low,October-March,Moderate,Cool,4.3,Pilgrimage temple. Religious site.
Murudeshwara Temple,Murudeshwar,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.3,Cliff temple. Pilgrimage site.
Murudeshwara Raja Gopuram,Murudeshwar,Karnataka,Monument,Low,October-March,Moderate,Moderate,4.3,Tower monument. Architectural landmark.
Netrani Island,Murudeshwar,Karnataka,Island,Moderate,October-March,Moderate,Moderate,4.2,Island monastery. Historical site.
Jog Falls,Jog,Karnataka,Waterfall,Moderate,September-March,Moderate,Moderate,4.4,High waterfall cascade. Natural wonder.
Sharavathi River,Sharavathi,Karnataka,River,Low,Year-round,Moderate,Moderate,4.2,Sacred river valley. Nature site.
Barkur Fort,Barkur,Karnataka,Fort,Low,October-March,Low,Hot,4.1,Historic fort. Defence structure.
Baithkol Fort,Baithkol,Karnataka,Fort,Low,October-March,Low,Hot,4.1,Coastal fort. Defence structure.
Honnavar Port,Honnavar,Karnataka,Harbor,Low,October-March,Moderate,Moderate,4.1,Historic port. Commercial center.
Udyavar Temple,Udyavar,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.1,Religious shrine. Spiritual site.
Mangalore Fort,Mangalore,Karnataka,Fort,Low,October-March,Moderate,Moderate,4.2,Historic fort. Defence structure.
Mangalore Light House,Mangalore,Karnataka,Monument,Low,October-March,Moderate,Moderate,4.2,Historic lighthouse. Coastal landmark.
Sultan Battery,Mangalore,Karnataka,Monument,Low,October-March,Moderate,Moderate,4.1,Historic fortification. Heritage site.
Basilica of Our Lady Rosary,Mangalore,Karnataka,Church,Low,October-March,Moderate,Moderate,4.2,Historic church. Religious landmark.
Milagres Church,Mangalore,Karnataka,Church,Low,October-March,Moderate,Moderate,4.2,Colonial church. Religious site.
Mangalore Cathedral,Mangalore,Karnataka,Cathedral,Low,October-March,Moderate,Moderate,4.2,Historic cathedral. Religious landmark.
St. Aloysius Chapel,Mangalore,Karnataka,Chapel,Low,October-March,Moderate,Moderate,4.2,Historic chapel. Religious site.
Kadri Temple,Mangalore,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.2,Ancient temple. Religious site.
Someshwara Temple,Gokarna,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.2,Beach temple. Religious site.
Parshurameswara Temple,Gokarna,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.1,Ancient temple. Pilgrimage site.
Gokarna Beach,Gokarna,Karnataka,Beach,Low,October-March,Moderate,Moderate,4.3,Scenic beach. Tourism destination.
Yana Caves,Yana,Karnataka,Cave,Low,October-March,Low,Moderate,4.2,Natural caves. Geological wonder.
Udupi Sri Krishna Temple,Udupi,Karnataka,Temple,Low,October-March,High,Moderate,4.4,Major pilgrimage temple. Religious center.
St. Mary's Island,Udupi,Karnataka,Island,Low,October-March,Moderate,Moderate,4.2,Historic island. Tourism spot.
Manipal Beach,Manipal,Karnataka,Beach,Low,October-March,Moderate,Moderate,4.2,Scenic beach. Recreation area.
Pilikula Nisargadhama,Mangalore,Karnataka,Nature Reserve,Low,October-March,Moderate,Moderate,4.2,Wildlife sanctuary. Ecological site.
Padubidri Fort,Padubidri,Karnataka,Fort,Low,October-March,Moderate,Moderate,4.1,Historic fort. Defence structure.
Shiradi Ghat,Shiradi,Karnataka,Mountain Pass,Low,October-March,Moderate,Cool,4.2,Scenic mountain passage. Tourism site.
Agumbe Scenic Point,Agumbe,Karnataka,Viewpoint,Low,September-March,Moderate,Humid,4.3,Hill viewpoint. Tourism destination.
Chikmangalur Coffee Plantations,Chikmangalur,Karnataka,Agricultural,Moderate,September-March,Moderate,Cool,4.3,Coffee estate area. Tourism site.
Mullayanagiri Peak,Chikmangalur,Karnataka,Mountain,Moderate,September-March,Moderate,Cool,4.4,Highest peak. Adventure site.
Kemmanagundi Hill Station,Kemmanagundi,Karnataka,Hill Station,Low,September-March,Moderate,Cool,4.3,Mountain destination. Tourism hotspot.
Baba Budan Giri,Baba Budan,Karnataka,Mountain,Moderate,September-March,Moderate,Cool,4.3,Sacred mountain. Pilgrimage site.
Sringeri Town,Sringeri,Karnataka,Town,Low,October-March,Moderate,Cool,4.2,Religious center. Pilgrimage destination.
Kudremukh National Park,Kudremukh,Karnataka,Nature Reserve,Moderate,September-March,Moderate,Cool,4.4,Hill station sanctuary. Ecological site.
Chikmagalur Rural Heritage,Chikmagalur,Karnataka,Heritage Site,Low,September-March,Moderate,Cool,4.2,Village tourism. Cultural site.
Kopeshwar Temple,Koppeshwara,Karnataka,Temple,Low,October-March,Low,Cool,4.2,Ancient temple. Religious site.
Lakxmi Narayana Temple,Bhagamandala,Karnataka,Temple,Low,October-March,Moderate,Cool,4.2,Ancient temple. Religious site.
Bhagamandala Confluence,Bhagamandala,Karnataka,River Confluence,Low,October-March,Moderate,Cool,4.2,Sacred river meeting. Religious site.
Talacauvery Nature Camp,Talacauvery,Karnataka,Nature Site,Low,September-March,Low,Cool,4.2,River source area. Nature site.
Nandi Hills Ascent,Nandi Hills,Karnataka,Mountain,Low,October-March,Moderate,Cool,4.3,Scenic hill viewpoint. Tourism destination.
Tipu Sultan's Fortress,Bangalore,Karnataka,Fort,Low,October-March,High,Moderate,4.3,Historic palace fortress. Heritage site.
Bangalore Commercial Street,Bangalore,Karnataka,Shopping District,Low,October-March,Very High,Moderate,4.2,Historic shopping area. Commercial hub.
Visvesvaraya Industrial Museum,Bangalore,Karnataka,Museum,Low,October-March,Moderate,Moderate,4.2,Industrial heritage museum. Educational.
Vidhan Soudha Gardens,Bangalore,Karnataka,Garden,Low,October-March,High,Moderate,4.3,Beautiful gardens. Recreation area.
Ulsoor Lake,Bangalore,Karnataka,Lake,Low,October-March,Moderate,Moderate,4.2,Urban lake. Recreation area.
Koramangala Lake,Bangalore,Karnataka,Lake,Low,October-March,Moderate,Moderate,4.2,Urban water body. Recreation area.
Domlur Lake,Bangalore,Karnataka,Lake,Low,October-March,Low,Moderate,4.1,Historic lake. Nature site.
Puttenahalli Pond,Bangalore,Karnataka,Pond,Low,October-March,Moderate,Moderate,4.2,Restored water body. Recreation area.
Bellandur Lake,Bangalore,Karnataka,Lake,Low,October-March,Moderate,Moderate,4.2,Scenic lake. Recreation area.
Indiranagar Lake,Bangalore,Karnataka,Lake,Low,October-March,Low,Moderate,4.1,Urban lake. Nature site.
Yediyur Lake,Bangalore,Karnataka,Lake,Low,October-March,Low,Moderate,4.1,Historic lake. Nature site.
Madivala Lake,Bangalore,Karnataka,Lake,Low,October-March,Low,Moderate,4.1,Urban water body. Nature site.
Sankey Tank,Bangalore,Karnataka,Tank,Low,October-March,Moderate,Moderate,4.2,Historic water tank. Recreation area.
Halasuru Tank,Bangalore,Karnataka,Tank,Low,October-March,Moderate,Moderate,4.2,Historic temple tank. Religious site.
Basavanagudi Mantap,Bangalore,Karnataka,Monument,Low,October-March,Moderate,Moderate,4.1,Historic pavilion. Heritage site.
Sampangi Tank,Bangalore,Karnataka,Tank,Low,October-March,Low,Moderate,4.1,Historic water body. Nature site.
Javaguntepalya Lake,Bangalore,Karnataka,Lake,Low,October-March,Low,Moderate,4.1,Urban water body. Nature site.
Puttenahalli Temple,Bangalore,Karnataka,Temple,Low,October-March,Low,Moderate,4.1,Ancient temple. Religious site.
Venkateshpura Temple,Bangalore,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.1,Religious shrine. Spiritual site.
Manjunatha Temple,Bangalore,Karnataka,Temple,Low,October-March,Moderate,Moderate,4.1,Ancient temple. Religious site.
Sri Guru Prasad Mantap,Bangalore,Karnataka,Pavilion,Low,October-March,Low,Moderate,4.1,Historic structure. Heritage site.
Attur Cave Temple,Attur,Tamil Nadu,Cave,Low,January-March,Low,Hot,4.1,Cave shrine. Religious site.
Palani Murugan Temple,Palani,Tamil Nadu,Temple,Low,January-March,High,Hot,4.3,Hilltop temple. Pilgrimage site.
Chettinad Mansions,Chettinad,Tamil Nadu,Heritage Site,Moderate,January-March,Low,Hot,4.3,Mansions cluster. Architectural heritage.
Devakottai Palace,Devakottai,Tamil Nadu,Palace,Low,January-March,Low,Hot,4.1,Historic palace. Heritage structure.
Kottaiyam Backwater Cruise,Kottaiyam,Kerala,Waterway,Low,October-May,Moderate,Humid,4.3,Scenic backwater journey. Tourism activity.
Thekkady Wildlife Reserve,Thekkady,Kerala,Wildlife Reserve,Moderate,October-May,Moderate,Humid,4.4,Elephant sanctuary. Ecological site.
Kumily Spice Market,Kumily,Kerala,Market,Low,October-May,High,Humid,4.3,Spice trading center. Commercial hub.
Periyar Lake,Thekkady,Kerala,Lake,Moderate,October-May,Moderate,Humid,4.3,Scenic lake. Recreation area.
Edakkal Caves,Edakkal,Kerala,Cave,Low,October-May,Moderate,Cool,4.3,Ancient rock carvings. Archaeological site.
Wayanad Chembra Peak,Wayanad,Kerala,Mountain,Moderate,October-May,Moderate,Cool,4.4,Trekking destination. Adventure site.
Neelakanta Temple,Wayanad,Kerala,Temple,Low,October-May,Moderate,Cool,4.2,Hilltop temple. Pilgrimage site.
Pookode Lake,Wayanad,Kerala,Lake,Low,October-May,Moderate,Cool,4.3,Scenic lake. Recreation area.
Banasura Sagar Dam,Banasura,Kerala,Dam,Low,October-May,Moderate,Cool,4.3,Water reservoir. Recreation area.
Soochipara Waterfall,Soochipara,Kerala,Waterfall,Low,October-May,Moderate,Cool,4.4,Scenic waterfall. Natural attraction.
Meenmutty Waterfall,Meenmutty,Kerala,Waterfall,Low,October-May,Moderate,Cool,4.3,Cascading waterfall. Natural attraction.
Kanthanpara Waterfall,Kanthanpara,Kerala,Waterfall,Low,October-May,Moderate,Cool,4.3,Scenic waterfall. Natural attraction.
Chennara River,Wayanad,Kerala,River,Low,Year-round,Moderate,Cool,4.2,Mountain river. Nature site.
Kozhikode Beach,Kozhikode,Kerala,Beach,Low,Year-round,High,Humid,4.3,Historic beach. Tourism destination.
Kozhikode Fort,Kozhikode,Kerala,Fort,Low,Year-round,Moderate,Humid,4.2,Colonial fort. Defence structure.
Kappad Beach,Kappad,Kerala,Beach,Low,Year-round,Moderate,Humid,4.3,Historic beach. Tourism destination.
Thalassery Fort,Thalassery,Kerala,Fort,Low,Year-round,Moderate,Humid,4.2,Colonial fort. Defence structure.
Thalassery Lighthouse,Thalassery,Kerala,Lighthouse,Low,Year-round,Moderate,Humid,4.2,Historic lighthouse. Coastal landmark.
Kannur Fort,Kannur,Kerala,Fort,Low,Year-round,Moderate,Humid,4.2,Ancient fort. Defence structure.
Mappila Bay,Kannur,Kerala,Bay,Low,Year-round,Moderate,Humid,4.2,Scenic bay. Tourism site.
Anjali Devi Temple,Kannur,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Religious shrine. Spiritual site.
Paliport Beach,Paliport,Kerala,Beach,Low,Year-round,Moderate,Humid,4.2,Scenic beach. Tourism destination.
Karatya Fort,Karatya,Kerala,Fort,Low,Year-round,Low,Humid,4.1,Historic fort. Defence structure.
Panthalayini Temple,Panthalayini,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Ancient temple. Religious site.
Pazhayangadi,Pazhayangadi,Kerala,Church,Low,Year-round,Moderate,Humid,4.2,Historic church. Religious site.
Muzhappilangad Beach,Muzhappilangad,Kerala,Beach,Low,Year-round,Moderate,Humid,4.3,Scenic beach. Tourism spot.
Bavali Rocks,Bavali,Kerala,Rock Formation,Low,Year-round,Low,Humid,4.2,Natural rock site. Nature attraction.
Kasaragod Delta,Kasaragod,Kerala,Delta Region,Low,Year-round,Moderate,Humid,4.2,River delta area. Ecological site.
Bekal Fort,Bekal,Kerala,Fort,Low,Year-round,Moderate,Humid,4.3,Historic fort. Defence structure.
Bekal Beach,Bekal,Kerala,Beach,Low,Year-round,Moderate,Humid,4.3,Scenic beach. Tourism destination.
Bekal Hole,Bekal,Kerala,Cave,Low,Year-round,Low,Humid,4.2,Natural cave. Geological site.
Palliport Fort,Palliport,Kerala,Fort,Low,Year-round,Low,Humid,4.1,Historic fort. Defence structure.
Chandragiri Cave,Chandragiri,Kerala,Cave,Low,Year-round,Low,Humid,4.1,Natural cave. Geological site.
Kaniyur Fort,Kaniyur,Kerala,Fort,Low,Year-round,Low,Humid,4.1,Historic fort. Defence structure.
Kannur Lighthouse,Kannur,Kerala,Lighthouse,Low,Year-round,Moderate,Humid,4.2,Historic lighthouse. Coastal landmark.
Priyadarshini Park,Kottayam,Kerala,Park,Low,Year-round,Moderate,Humid,4.2,Public garden. Recreation area.
Aymanam Backwater,Aymanam,Kerala,Backwater,Low,October-May,Moderate,Humid,4.2,Scenic waterway. Tourism site.
Kumarakom Lake,Kumarakom,Kerala,Lake,Low,October-May,Moderate,Humid,4.3,Bird sanctuary lake. Ecological site.
Vaikom Shiva Temple,Vaikom,Kerala,Temple,Low,Year-round,Moderate,Humid,4.3,Ancient temple. Pilgrimage site.
Kodimatha Mahadeva Temple,Kodimatha,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Religious shrine. Spiritual site.
Theerthala Temple,Theerthala,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Ancient temple. Religious site.
Mammiyur Samadhi,Mammiyur,Kerala,Monument,Low,Year-round,Low,Humid,4.1,Spiritual memorial. Religious site.
Neerattu Temple,Neerattu,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Ancient temple. Religious site.
Arthat Temple,Arthat,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Religious shrine. Spiritual site.
Erumeli Shiva Temple,Erumeli,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Ancient temple. Religious site.
Kavali Temple,Kavali,Kerala,Temple,Low,Year-round,Low,Humid,4.1,Temple shrine. Religious site.
Thiruvalla Convent,Thiruvalla,Kerala,Church,Low,Year-round,Moderate,Humid,4.2,Historic convent. Religious site.
Thiruvalla Temple,Thiruvalla,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Ancient temple. Religious site.
Kadavoor Temple,Kadavoor,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Temple shrine. Religious site.
Karoor Temple,Karoor,Kerala,Temple,Low,Year-round,Low,Humid,4.1,Ancient temple. Religious site.
Kizhakkambalam Bridge,Kizhakkambalam,Kerala,Bridge,Low,Year-round,Moderate,Humid,4.1,Historic bridge. Engineering landmark.
Edamattom Church,Edamattom,Kerala,Church,Low,Year-round,Moderate,Humid,4.2,Historic church. Religious site.
Edamattom Cross,Edamattom,Kerala,Monument,Low,Year-round,Moderate,Humid,4.1,Religious monument. Heritage site.
Aruvithura Perumal Temple,Aruvithura,Kerala,Temple,Low,Year-round,Moderate,Humid,4.2,Ancient temple. Religious site.
Cherthala Beach,Cherthala,Kerala,Beach,Low,Year-round,Moderate,Humid,4.2,Scenic beach. Recreation area.
Mannar Temple,Mannar,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Temple shrine. Religious site.
Karumathur Temple,Karumathur,Kerala,Temple,Low,Year-round,Moderate,Humid,4.1,Ancient temple. Religious site.
Pallippad Greek Orthodox Church,Pallippad,Kerala,Church,Low,Year-round,Moderate,Humid,4.2,Historic church. Religious site.
Pallippad Saint Mary's Church,Pallippad,Kerala,Church,Low,Year-round,Moderate,Humid,4.2,Religious landmark. Heritage site.
Karoor Temple Complex,Karoor,Kerala,Temple Complex,Low,Year-round,Moderate,Humid,4.2,Multiple temples. Religious site.
Mahabalipuram Cave Temple,Mahabalipuram,Tamil Nadu,Cave,Low,January-March,Moderate,Hot,4.2,Ancient cave shrine. Archaeological site.
Kailasanatha Rock Temple,Kanchi,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.3,Rock-cut temple. Ancient architecture.
Kanchipuram Silk Saree Industry,Kanchipuram,Tamil Nadu,Craft,Low,January-March,Moderate,Hot,4.2,Silk weaving center. Cultural hub.
Kamakshi Amman Temple,Kanchipuram,Tamil Nadu,Temple,Low,January-March,High,Hot,4.4,Major pilgrimage temple. Religious center.
Ekambaranatha Temple,Kanchipuram,Tamil Nadu,Temple,Low,January-March,High,Hot,4.4,Ancient temple. Pilgrimage site.
Varadaraja Perumal Temple,Kanchipuram,Tamil Nadu,Temple,Low,January-March,High,Hot,4.4,Major pilgrimage temple. Religious site.
Kukkeshwar Devi Temple,Vellore,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.2,Religious shrine. Spiritual site.
Vellore Fort,Vellore,Tamil Nadu,Fort,Low,January-March,Moderate,Hot,4.3,Historic fort. Defence structure.
Jalakanteswara Temple,Vellore,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.2,Ancient temple. Religious site.
Ranganathaswamy Temple,Srirangam,Tamil Nadu,Temple,Low,January-March,High,Hot,4.4,Major pilgrimage temple. Religious center.
Akalanatha Temple,Srirangam,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.2,Temple shrine. Religious site.
Ranganatha Perumal Temple,Srirangam,Tamil Nadu,Temple,Low,January-March,Moderate,Hot,4.3,Ancient temple. Religious site.
